gr:category,gr:category,gr:category,gr:category,variations,gr:hasBusinessFunction,gr:hasUnitOfMeasurement,eco:http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#,pto:http://www.productontology.org/id/,base_price,duration,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Epilasyon,Alexandrite Lazer Epilasyon,1-Seans-Tüm-vücut 1-Seans-Çene 1-Seans-Koltuk-Altı 1-Seans-Favoriler 1-Seans-Genital-Bölge 1-Seans-Boyun 1-Seans-Tüm-Bacak 1-Seans-Sakal-Üstleri 1-Seans-Üst-Bacak 1-Seans-Kulaklar 1-Seans-Alt-Bacak 1-Seans-Ense 1-Seans-Bikini-Bölgesi 1-Seans-Omuzlar 1-Seans-Kalçalar 1-Seans-Bel 1-Seans-Tüm-Kol 1-Seans-Omuzlar-+-Bel 1-Seans-Yarım-Kol 1-Seans-Göğüs 1-Seans-Tüm-Yüz 1-Seans-Göbek 1-Seans-Kaş-Üstleri 1-Seans-Göğüs-+-Göbek 1-Seans-Kaş-Ortası 1-Seans-El-Üstleri 1-Seans-Dudak-Üstü 1-Seans-Ayak-Üstleri,ProvideService,C62,C_BAC092001-gen,Laser_hair_removal,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Epilasyon,IPL Epilasyon,1-Seans-Tüm-vücut 1-Seans-Çene 1-Seans-Koltuk-Altı 1-Seans-Favoriler 1-Seans-Genital-Bölge 1-Seans-Boyun 1-Seans-Tüm-Bacak 1-Seans-Sakal-Üstleri 1-Seans-Üst-Bacak 1-Seans-Kulaklar 1-Seans-Alt-Bacak 1-Seans-Ense 1-Seans-Bikini-Bölgesi 1-Seans-Omuzlar 1-Seans-Kalçalar 1-Seans-Bel 1-Seans-Tüm-Kol 1-Seans-Omuzlar-+-Bel 1-Seans-Yarım-Kol 1-Seans-Göğüs 1-Seans-Tüm-Yüz 1-Seans-Göbek 1-Seans-Kaş-Üstleri 1-Seans-Göğüs-+-Göbek 1-Seans-Kaş-Ortası 1-Seans-El-Üstleri 1-Seans-Dudak-Üstü 1-Seans-Ayak-Üstleri,ProvideService,C62,C_BAC092001-gen,Intense_pulsed_light,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Epilasyon,İğneli Epilasyon,1-Seans-Tüm-vücut 1-Seans-Çene 1-Seans-Koltuk-Altı 1-Seans-Favoriler 1-Seans-Genital-Bölge 1-Seans-Boyun 1-Seans-Tüm-Bacak 1-Seans-Sakal-Üstleri 1-Seans-Üst-Bacak 1-Seans-Kulaklar 1-Seans-Alt-Bacak 1-Seans-Ense 1-Seans-Bikini-Bölgesi 1-Seans-Omuzlar 1-Seans-Kalçalar 1-Seans-Bel 1-Seans-Tüm-Kol 1-Seans-Omuzlar-+-Bel 1-Seans-Yarım-Kol 1-Seans-Göğüs 1-Seans-Tüm-Yüz 1-Seans-Göbek 1-Seans-Kaş-Üstleri 1-Seans-Göğüs-+-Göbek 1-Seans-Kaş-Ortası 1-Seans-El-Üstleri 1-Seans-Dudak-Üstü 1-Seans-Ayak-Üstleri,ProvideService,C62,C_BAC092001-gen,Hair_removal,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Epilasyon,Jelli Epilasyon,1-Seans-Tüm-vücut 1-Seans-Çene 1-Seans-Koltuk-Altı 1-Seans-Favoriler 1-Seans-Genital-Bölge 1-Seans-Boyun 1-Seans-Tüm-Bacak 1-Seans-Sakal-Üstleri 1-Seans-Üst-Bacak 1-Seans-Kulaklar 1-Seans-Alt-Bacak 1-Seans-Ense 1-Seans-Bikini-Bölgesi 1-Seans-Omuzlar 1-Seans-Kalçalar 1-Seans-Bel 1-Seans-Tüm-Kol 1-Seans-Omuzlar-+-Bel 1-Seans-Yarım-Kol 1-Seans-Göğüs 1-Seans-Tüm-Yüz 1-Seans-Göbek 1-Seans-Kaş-Üstleri 1-Seans-Göğüs-+-Göbek 1-Seans-Kaş-Ortası 1-Seans-El-Üstleri 1-Seans-Dudak-Üstü 1-Seans-Ayak-Üstleri,ProvideService,C62,C_BAC092001-gen,Hair_removal,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Epilasyon,Sir,Komple Yarım Kol-Altı Bütün-Kol Yarım-Kol Bütün-Bacak Yarım-Bacak Bikini-Bölgesi Yüz-Bölgesi Kaş-ve-Bıyık Sırt Göbek Göğüs,ProvideService,C62,C_BAC092001-gen,Waxing,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Kaş Bakımı,Kaş Alma,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Eyebrow,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Kaş Bakımı,Kaş Boyama,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Eyebrow,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Kaş Bakımı,Kaş Dolgu,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Eyebrow,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Kaş Bakımı,Kaş Şekillendirme,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Eyebrow,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Kirpik Bakımı,İpek Kirpik,Tekli-Uygulama 3D-Uygulama Mink-Uygulama Bakım-İşlemi,ProvideService,C62,C_BAC092001-gen,Eyelash_extensions,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Kirpik Bakımı,Kirpik Boyama,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Eyelash,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Kirpik Bakımı,Kirpik Perması,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Eyelash_extensions,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Makyaj,Kalıcı Makyaj,Dudak-Makyajı Göz-Makyajı Kaş-Makyajı,ProvideService,C62,C_AKG498003-gen,Permanent_makeup,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Makyaj,Profesyonel Makyaj,Artistik-Makyaj Gece-Makyajı Gelin-Makyajı Gündüz-Makyajı Nişan-Makyajı Plastik-Makyaj Porselen-Makyaj Sahne-Makyajı,ProvideService,C62,C_AKG498003-gen,Cosmetic,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Masaj,Anti Stres Masajı,Standart-Uygulama,ProvideService,C62,C_AKG498003-gen,Massage,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Kişisel Bakım Hizmetleri,Masaj,Çikolata Masajı,Standart-Uygulama,ProvideService,C62,C_AKG498003-gen,Massage,0,60,,,,,,,,,,,,,,,,,,,,,,,,,,,
