gr:category,gr:category,gr:category,gr:category,variations,gr:hasBusinessFunction,gr:hasUnitOfMeasurement,eco:http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#,pto:http://www.productontology.org/id/,base_price,duration,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Bakımı,Myolifting,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Bakımı,Nem-Bakımı,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Bakımı,Oksijen-Terapi,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Bakımı,Plasenta-Bakımı,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Spray_tanning,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Bakımı,Radyofrekans,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Spray_tanning,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Bakımı,Yağlı-Cilt-Bakımı,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Bakımı,Yaşlanma-Karşıtı,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Spray_tanning,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Gençleştirme,Botox,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Gençleştirme,Dermaterapi,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Spray_tanning,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Gençleştirme,Dolgu-Uygulamaları,Standart-Uygulama,ProvideService,C62,C_BAC092001-gen,Spray_tanning,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Gençleştirme,Fraksiyonel-Lazer,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Gençleştirme,Işık-Dolgu,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Gençleştirme,Kimyasal-Peeling,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Gençleştirme,Mezolifting,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Cilt Gençleştirme,Prp,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,El Tedavileri,Batık-Tırnak,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Ingrown_nail,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,El Tedavileri,Deforme-Tırnak,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Onychodystrophy,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,El Tedavileri,Nasır,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Callus,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,El Tedavileri,Siğil,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Wart,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,El Tedavileri,Tırnak-Mantarı,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Onychomycosis,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,El Tedavileri,Tırnak-Yeme,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Ingrown_nail,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Leke Tedavisi,Dermaroller,Standart-Tedavi,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Leke Tedavisi,Enzim-peeling,Standart-Tedavi,ProvideService,C62,C_BAC092001-gen,Spray_tanning,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Leke Tedavisi,Fraksiyonel-Lazer,Standart-Tedavi,ProvideService,C62,C_BAC092001-gen,Spray_tanning,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Leke Tedavisi,Kimyasal-Peeling,Standart-Tedavi,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Leke Tedavisi,Lazerli-Leke-Tedavisi,Standart-Tedavi,ProvideService,C62,C_BAC092001-gen,Spray_tanning,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Leke Tedavisi,PRP-Dermoterapi,Standart-Tedavi,ProvideService,C62,C_BAC092001-gen,Spray_tanning,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Meme Estetiği,Meme-Büyültme,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Meme Estetiği,Meme-Dikleştirme,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Meme Estetiği,Meme-Küçültme,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Meme Estetiği,Memeye-Yağ-Transferi,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Saç Ekimi,FUE-Saç-Ekimi,Standart-Uygulama,ProvideService,C62,C_AAB405003-gen,Hair_transplantation,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Saç Ekimi,PRP-Saç-Ekimi,Standart-Uygulama,ProvideService,C62,C_AAB405003-gen,Hair_transplantation,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Vücut Estetiği,Jinekomasti,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Vücut Estetiği,Karın-Germe,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Vücut Estetiği,Kol-Germe,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Vücut Estetiği,Lipomatik-ve-Liposculpture,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Vücut Estetiği,Vajina-Estetiği,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Yüz Estetiği,Burun-Estetiği,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Yüz Estetiği,Dudak-büyütme,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Yüz Estetiği,Göz-Kapağı-Operasyonu,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Yüz Estetiği,Kaş-Kaldırma,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Yüz Estetiği,Kepçe-Kulak,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Yüz Estetiği,Yağ-Transferi,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Yüz Estetiği,Yüz-Germe-Ameliyatı,Standart-Uygulama,ProvideService,MIN,C_BAC092001-gen,Tanning_bed,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tüm Hizmetler,Sağlık Hizmetleri,Yüz Tedavileri,Akne-ve-Sivilce,Standart-Tedavi,ProvideService,C62,C_AAB405003-gen,Acne_vulgaris,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
